2025-03-02 15:39:17.0198 | Info | User registered successfully: string 
2025-03-02 15:39:17.0631 | Info | User registered in Business Layer: string 
2025-03-03 10:35:19.8853 | Error | Error in RegisterUser: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 10:35:19.9286 | Error | Error in Register: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 10:35:19.9286 | Error | Error in Register: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 10:40:21.8505 | Error | Error in RegisterUser: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 10:40:21.8505 | Error | Error in Register: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 10:40:21.8505 | Error | Error in Register: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 10:54:15.4790 | Error | Error in RegisterUser: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 10:54:15.5028 | Error | Error in Register: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 10:54:15.5040 | Error | Error in Register: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 10:59:02.8535 | Info | User registered successfully: string 
2025-03-03 10:59:02.8815 | Info | User registered in Business Layer: string 
2025-03-03 10:59:44.1000 | Info | User registered successfully: string 
2025-03-03 10:59:44.1000 | Info | User registered in Business Layer: string 
2025-03-03 11:01:23.2818 | Error | Error in RegisterUser: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 11:01:23.2818 | Error | Error in Register: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 11:01:23.2818 | Error | Error in Register: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 11:01:30.0168 | Error | Error in RegisterUser: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 11:01:30.0220 | Error | Error in Register: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 11:01:30.0220 | Error | Error in Register: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 11:09:13.1968 | Info | User registered successfully: string 
2025-03-03 11:09:13.2262 | Info | User registered in Business Layer: string 
2025-03-03 11:21:18.9729 | Info | User registered successfully: string 
2025-03-03 11:21:19.0503 | Info | User registered in Business Layer: string 
2025-03-03 11:21:49.2517 | Error | Error in RegisterUser: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 11:21:49.3126 | Error | Error in Register: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 11:21:49.3645 | Error | Error in Register: An error occurred while saving the entity changes. See the inner exception for details. 
2025-03-03 11:24:41.5116 | Info | User registered successfully: sadfgd 
2025-03-03 11:24:41.5116 | Info | User registered in Business Layer: sadfgd 
2025-03-03 11:45:34.0183 | Info | Application is starting... 
2025-03-03 11:45:34.6987 | Info | Application is running... 
2025-03-03 11:45:34.8656 | Info | Now listening on: https://localhost:7038 
2025-03-03 11:45:34.8656 | Info | Now listening on: http://localhost:5199 
2025-03-03 11:45:34.9388 | Info | Application started. Press Ctrl+C to shut down. 
2025-03-03 11:45:34.9388 | Info | Hosting environment: Development 
2025-03-03 11:45:34.9388 | Info | Content root path: C:\Users\91870\source\repos\UserResgistration1\ 
2025-03-03 11:45:35.8703 | Info | Request starting HTTP/2 GET https://localhost:7038/swagger/index.html - - 
2025-03-03 11:45:36.1859 | Info | Request finished HTTP/2 GET https://localhost:7038/swagger/index.html - - - 200 - text/html;charset=utf-8 320.6208ms 
2025-03-03 11:45:36.2011 | Info | Request starting HTTP/2 GET https://localhost:7038/_vs/browserLink - - 
2025-03-03 11:45:36.2011 | Info | Request starting HTTP/2 GET https://localhost:7038/_framework/aspnetcore-browser-refresh.js - - 
2025-03-03 11:45:36.2011 | Info | Request finished HTTP/2 GET https://localhost:7038/_framework/aspnetcore-browser-refresh.js - - - 200 12368 application/javascript;+charset=utf-8 5.1634ms 
